Имя команды	Внутреннее имя	Описание	Подпункт	Размер в ленте	RibbonSplitButton
Обозреатель объектов	Nervana_MgdExplorerReflectionEntities	Обзор свойств классов выбранных объектов чертежа в отдельном окне	Утилиты	LargeWithText	Обозреватель Reflection
Обозреатель объектов2	Nervana_MgdExplorerReflectionEntities2	Обзор свойств классов выбранных объектов чертежа на палитре	Утилиты	LargeWithText	Обозреватель Reflection
Обозреватель приложения	Nervana_MgdExplorerReflectionApplication	Обзор свойств класса приложения nanoCAD	Утилиты	LargeWithText	Обозреватель Reflection
Обозреватель моделей	Nervana_MgdExplorerReflectionDocuments	Обзор свойств класса коллекции открытых документов nanoCAD	Утилиты	LargeWithText	Обозреватель Reflection
Обозреватель модели	Nervana_MgdExplorerReflectionDocument	Обзор свойств активного документа (модели) nanoCAD	Утилиты	LargeWithText	Обозреватель Reflection
Обозреватель БД модели	Nervana_MgdExplorerReflectionDatabase	Обзор свойств активной Базы данных документа (модели) nanoCAD	Утилиты	LargeWithText	Обозреватель Reflection
Расставить отверстия	Nervana_OpeningsPlaces	Расставляет отверстия в стенах и в перекрытиях по файлу	Утилиты	SmallWithoutText	
Обозреватель параметров	Nervana_ParametersEditor	Обзор и редактирования параметров одного параметрического объекта	Параметры	LargeWithText	
Создать помещение	Nervana_PlaceRoomInContour	Автоматически определяет контур для выбранной точки и строит помещение	Помещения	LargeWithText	
Расставить в помещениях	Nervana_CopyObjectsToRoom	Копирование выбранных объектов в каждое из заданных помещений	Помещения	SmallWithoutText	
Перекрытие по помещению	Nervana_Room2Floor	Создает перекрытия по контуру помещения	Помещения	SmallWithoutText	
Помещение по перекрытию	Nervana_Floor2Room	Создает помещение по внешнему контуру перекрытия	Помещения	SmallWithoutText	
Помещение по контурам	Nervana_Polylines2Room	Создает помещения по замкнутым контурам (полилиниям)	Помещения	SmallWithoutText	
Связать стены с помещением	Nervana_LinkWallsToRoom	Связывает стены с помещениями на зданном удалении от контура помещения	Помещения	SmallWithoutText	
Связать объекты с помещением	Nervana_LinkObjectsToRoom	Связывает элементы с помещениями по условию их попадания в помещение	Помещения	SmallWithoutText	
Обозреватель конструктивных сборок	Nervana_AssemblyRefsExplorer	Палитра со всеми конструктивными сборками в модели	Structure	SmallWithoutText	
Построить тени	Nervana_Analytic_ShadowsBySunCreator	Рассчитывает затенение от объектов модели от заданного положения Солнца	Аналитика	SmallWithoutText	
